draw_date,weekday,number_1,number_2,number_3,number_4,number_5,jackpot_text,jackpot_amount,rule_version,source_url
2022-12-07,Wednesday,5,12,17,18,29,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-08,Thursday,13,15,33,37,38,"$172,000",172000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-09,Friday,5,6,10,24,31,"$82,000",82000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-10,Saturday,8,9,33,35,38,"$191,000",191000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-11,Sunday,3,13,14,15,33,"$64,000",64000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-12,Monday,6,9,20,26,39,"$157,000",157000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-13,Tuesday,6,15,21,29,38,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-14,Wednesday,6,21,25,28,39,"$171,000",171000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-15,Thursday,17,18,23,33,34,"$315,000",315000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-16,Friday,5,10,15,29,32,"$82,000",82000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-17,Saturday,9,11,12,27,30,"$188,000",188000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-18,Sunday,10,20,27,34,37,"$63,000",63000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-19,Monday,18,25,27,28,37,"$158,000",158000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-20,Tuesday,1,7,28,29,39,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-21,Wednesday,6,17,28,29,35,"$73,000",73000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-22,Thursday,1,20,21,30,38,"$68,000",68000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-23,Friday,2,10,13,30,32,"$80,000",80000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-24,Saturday,5,13,19,24,33,"$75,000",75000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-25,Sunday,1,3,10,26,28,"$64,000",64000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-26,Monday,16,27,33,37,38,"$67,000",67000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-27,Tuesday,1,11,30,34,35,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-28,Wednesday,4,24,26,31,37,"$170,000",170000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-29,Thursday,13,17,22,31,39,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-30,Friday,4,22,26,33,38,"$182,000",182000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-12-31,Saturday,8,11,27,37,38,"$75,000",75000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2023-01-01,Sunday,1,3,8,10,26,"$61,000",61000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-02,Monday,8,10,12,15,33,"$68,000",68000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-03,Tuesday,2,12,14,17,38,"$72,000",72000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-04,Wednesday,17,19,26,30,39,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-05,Thursday,13,14,23,25,37,"$167,000",167000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-06,Friday,3,19,26,28,32,"$312,000",312000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-07,Saturday,10,16,22,31,34,"$545,000",545000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-08,Sunday,5,17,18,28,39,"$62,000",62000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-09,Monday,13,17,21,24,28,"$68,000",68000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-10,Tuesday,7,9,16,27,32,"$166,000",166000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-11,Wednesday,2,6,22,23,27,"$318,000",318000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-12,Thursday,12,16,32,38,39,"$75,000",75000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
2023-01-13,Friday,9,23,24,30,38,"$192,000",192000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2023
